user_id,start_time,end_time,status,title,description,calories,category,created_at,updated_at
1,2024-11-21 10:00:00,2024-11-21 11:00:00,ожидается,Пробежка,Утренняя пробежка,-300,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
1,2024-11-21 12:00:00,2024-11-21 13:00:00,выполняется,Завтрак,Овсянка с фруктами,200,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
2,2024-11-22 15:00:00,2024-11-22 16:00:00,выполнено,Медитация,Дневная медитация,0,сон,2024-11-21 09:00:00,2024-11-21 09:00:00
3,2024-11-23 07:00:00,2024-11-23 08:00:00,ожидается,Плавание,Утреннее плавание,-400,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
4,2024-11-23 10:00:00,2024-11-23 11:30:00,ожидается,Завтрак,Тост с авокадо,250,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
5,2024-11-24 18:00:00,2024-11-24 19:30:00,выполняется,Футбол,Тренировка с друзьями,-600,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
6,2024-11-25 09:00:00,2024-11-25 10:30:00,ожидается,Йога,Утренняя йога,-200,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
7,2024-11-25 12:00:00,2024-11-25 13:00:00,выполнено,Обед,Салат с курицей,400,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
8,2024-11-25 20:00:00,2024-11-25 21:30:00,ожидается,Сон,Ранний сон,0,сон,2024-11-21 09:00:00,2024-11-21 09:00:00
9,2024-11-26 08:00:00,2024-11-26 09:00:00,выполняется,Тренировка,Утренняя тренировка,-500,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
10,2024-11-26 10:00:00,2024-11-26 11:00:00,выполнено,Завтрак,Творог с ягодами,300,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
1,2024-11-26 17:00:00,2024-11-26 18:30:00,ожидается,Велосипед,Поездка на велосипеде,-700,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
2,2024-11-26 19:00:00,2024-11-26 20:00:00,ожидается,Ужин,Гречка с овощами,350,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
3,2024-11-27 06:00:00,2024-11-27 07:00:00,ожидается,Силовая тренировка,Тренировка в зале,-800,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
4,2024-11-27 08:00:00,2024-11-27 09:00:00,ожидается,Завтрак,Каша с орехами,300,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
5,2024-11-27 19:00:00,2024-11-27 20:00:00,выполнено,Сон,Релаксация перед сном,0,сон,2024-11-21 09:00:00,2024-11-21 09:00:00
6,2024-11-28 07:30:00,2024-11-28 08:30:00,ожидается,Плавание,Плавание в бассейне,-450,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
7,2024-11-28 09:00:00,2024-11-28 10:00:00,ожидается,Завтрак,Омлет с сыром,350,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
8,2024-11-28 17:00:00,2024-11-28 18:00:00,ожидается,Силовая тренировка,Работа с тяжестями,-600,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
9,2024-11-28 19:00:00,2024-11-28 20:30:00,выполнено,Ужин,Рыба с овощами,450,еда,2024-11-21 09:00:00,2024-11-21 09:00:00
10,2024-11-29 06:00:00,2024-11-29 07:00:00,ожидается,Пробежка,Ранний старт дня,-400,спорт,2024-11-21 09:00:00,2024-11-21 09:00:00
